State Name,County Name,County FIPS,CropDmg,CropDmg(ADJ 2017),CropDmgPerCapita(ADJ 2017),PropertyDmg,PropertyDmg(ADJ 2017),PropertyDmgPerCapita(ADJ 2017),Injuries,InjuriesPerCapita,Fatalities,FatalitiesPerCapita,Duration_Days,Fatalities_Duration,Injuries_Duration,Property_Damage_Duration,Crop_Damage_Duration,Records
ALABAMA,Clarke,'01025',0.00000,0.00000,0.00000,5000.00000,5000.00000,0.20749,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
ALABAMA,Wilcox,'01131',0.00000,0.00000,0.00000,10000.00000,10000.00000,0.93353,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
ARKANSAS,Arkansas,'05001',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00006,1.00000,1.00000,0.00000,0.00000,0.00000,1
ARKANSAS,Ashley,'05003',0.00000,0.00000,0.00000,71000.00000,71000.00000,3.49427,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,5
ARKANSAS,Benton,'05007',0.00000,0.00000,0.00000,67000.00000,67000.00000,0.25140,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,7
ARKANSAS,Boone,'05009',0.00000,0.00000,0.00000,420000.00000,420000.00000,11.20418,1.00000,0.00003,0.00000,0.00000,1.00000,0.00000,1.00000,1.00000,0.00000,2
ARKANSAS,Carroll,'05015',0.00000,0.00000,0.00000,2000.00000,2000.00000,0.07156,0.00000,0.00000,1.00000,0.00004,1.00000,1.00000,0.00000,1.00000,0.00000,2
ARKANSAS,Chicot,'05017',0.00000,0.00000,0.00000,23000.00000,23000.00000,2.16186,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
ARKANSAS,Clay,'05021',0.00000,0.00000,0.00000,1250000.00000,1250000.00000,83.83635,0.00000,0.00000,0.00000,0.00000,3.00000,0.00000,0.00000,3.00000,0.00000,5
ARKANSAS,Cleburne,'05023',0.00000,0.00000,0.00000,50000.00000,50000.00000,1.99633,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
ARKANSAS,Conway,'05029',0.00000,0.00000,0.00000,110000.00000,110000.00000,5.27629,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,4
ARKANSAS,Craighead,'05031',0.00000,0.00000,0.00000,147000.00000,147000.00000,1.37336,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,11
ARKANSAS,Crawford,'05033',0.00000,0.00000,0.00000,70000.00000,70000.00000,1.11258,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,4
ARKANSAS,Cross,'05037',0.00000,0.00000,0.00000,280000.00000,280000.00000,16.61524,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
ARKANSAS,Faulkner,'05045',0.00000,0.00000,0.00000,10000.00000,10000.00000,0.08104,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
ARKANSAS,Franklin,'05047',0.00000,0.00000,0.00000,5000.00000,5000.00000,0.28021,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
ARKANSAS,Fulton,'05049',0.00000,0.00000,0.00000,20000.00000,20000.00000,1.65125,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
ARKANSAS,Garland,'05051',0.00000,0.00000,0.00000,5000.00000,5000.00000,0.05079,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
ARKANSAS,Hot Spring,'05059',0.00000,0.00000,0.00000,5000.00000,5000.00000,0.14881,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
ARKANSAS,Independence,'05063',3500000.00000,3500000.00000,93.56037,20000.00000,20000.00000,0.53463,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,1.00000,2.00000,3
ARKANSAS,Jackson,'05067',0.00000,0.00000,0.00000,240000.00000,240000.00000,14.07047,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,5
ARKANSAS,Johnson,'05071',0.00000,0.00000,0.00000,120000.00000,120000.00000,4.53018,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
