State Name,County Name,County FIPS,CropDmg,CropDmg(ADJ 2017),CropDmgPerCapita(ADJ 2017),PropertyDmg,PropertyDmg(ADJ 2017),PropertyDmgPerCapita(ADJ 2017),Injuries,InjuriesPerCapita,Fatalities,FatalitiesPerCapita,Duration_Days,Fatalities_Duration,Injuries_Duration,Property_Damage_Duration,Crop_Damage_Duration,Records
CALIFORNIA,Amador,'06005',0.00000,0.00000,0.00000,36285.71000,36285.71000,0.94124,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,3
CALIFORNIA,Butte,'06007',0.00000,0.00000,0.00000,551370000.00000,551370000.00000,2405.55480,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,2
CALIFORNIA,Calaveras,'06009',0.00000,0.00000,0.00000,7032000.00000,7032000.00000,154.06862,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,3
CALIFORNIA,Colusa,'06011',0.00000,0.00000,0.00000,7000000.00000,7000000.00000,322.95271,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
CALIFORNIA,Del Norte,'06015',0.00000,0.00000,0.00000,6800000.00000,6800000.00000,247.92183,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,3
CALIFORNIA,El Dorado,'06017',0.00000,0.00000,0.00000,8264285.71000,8264285.71000,43.79079,0.00000,0.00000,0.00000,0.00000,4.00000,0.00000,0.00000,4.00000,0.00000,5
CALIFORNIA,Fresno,'06019',0.00000,0.00000,0.00000,100000.00000,100000.00000,0.10136,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Glenn,'06021',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00004,1.00000,1.00000,0.00000,0.00000,0.00000,1
CALIFORNIA,Humboldt,'06023',0.00000,0.00000,0.00000,4690000.00000,4690000.00000,34.35218,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,4
CALIFORNIA,Inyo,'06027',0.00000,0.00000,0.00000,10000.00000,10000.00000,0.55717,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
