State Name,County Name,County FIPS,CropDmg,CropDmg(ADJ 2017),CropDmgPerCapita(ADJ 2017),PropertyDmg,PropertyDmg(ADJ 2017),PropertyDmgPerCapita(ADJ 2017),Injuries,InjuriesPerCapita,Fatalities,FatalitiesPerCapita,Duration_Days,Fatalities_Duration,Injuries_Duration,Property_Damage_Duration,Crop_Damage_Duration,Records
ALABAMA,Crenshaw,'01041',0.00000,0.00000,0.00000,5000.00000,5000.00000,0.36072,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
ALABAMA,Pickens,'01107',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.00000,0.00030,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1
ARKANSAS,Ashley,'05003',0.00000,0.00000,0.00000,5000.00000,5000.00000,0.24608,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
ARKANSAS,Chicot,'05017',0.00000,0.00000,0.00000,2000.00000,2000.00000,0.18799,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
ARKANSAS,Phillips,'05107',0.00000,0.00000,0.00000,15000.00000,15000.00000,0.80802,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Santa Rosa,'12113',0.00000,0.00000,0.00000,30000.00000,30000.00000,0.17235,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Walton,'12131',0.00000,0.00000,0.00000,2000.00000,2000.00000,0.02929,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
GEORGIA,Brooks,'13027',0.00000,0.00000,0.00000,1000.00000,1000.00000,0.06391,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
GEORGIA,Dade,'13083',0.00000,0.00000,0.00000,8000.00000,8000.00000,0.49234,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
GEORGIA,Houston,'13153',0.00000,0.00000,0.00000,15000.00000,15000.00000,0.09795,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,4
GEORGIA,Macon,'13193',0.00000,0.00000,0.00000,6000.00000,6000.00000,0.45280,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Franklin,'37069',0.00000,0.00000,0.00000,4000.00000,4000.00000,0.06058,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Harnett,'37085',0.00000,0.00000,0.00000,2008500.00000,2008500.00000,15.18956,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,3
NORTH CAROLINA,Hoke,'37093',0.00000,0.00000,0.00000,25000.00000,25000.00000,0.46176,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Iredell,'37097',0.00000,0.00000,0.00000,1000.00000,1000.00000,0.00569,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Johnston,'37101',0.00000,0.00000,0.00000,500.00000,500.00000,0.00255,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Lee,'37105',0.00000,0.00000,0.00000,83000.00000,83000.00000,1.37038,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
NORTH CAROLINA,Mecklenburg,'37119',0.00000,0.00000,0.00000,1000.00000,1000.00000,0.00093,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Moore,'37125',0.00000,0.00000,0.00000,2000.00000,2000.00000,0.02057,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
NORTH CAROLINA,Randolph,'37151',0.00000,0.00000,0.00000,5000.00000,5000.00000,0.03493,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Richmond,'37153',0.00000,0.00000,0.00000,500.00000,500.00000,0.01115,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Wake,'37183',0.00000,0.00000,0.00000,10004000.00000,10004000.00000,9.33308,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
NORTH CAROLINA,Wayne,'37191',0.00000,0.00000,0.00000,15000.00000,15000.00000,0.12170,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KENTUCKY,Barren,'21009',0.00000,0.00000,0.00000,20000.00000,20000.00000,0.45646,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
KENTUCKY,Hart,'21099',0.00000,0.00000,0.00000,10000.00000,10000.00000,0.53299,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KENTUCKY,Logan,'21141',0.00000,0.00000,0.00000,20000.00000,20000.00000,0.74036,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
KENTUCKY,Todd,'21219',0.00000,0.00000,0.00000,350000.00000,350000.00000,28.68852,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
LOUISIANA,Acadia,'22001',0.00000,0.00000,0.00000,200000.00000,200000.00000,3.19928,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
LOUISIANA,Beauregard,'22011',0.00000,0.00000,0.00000,15000000.00000,15000000.00000,407.08877,0.00000,0.00000,0.00000,0.00000,3.00000,0.00000,0.00000,3.00000,0.00000,1
LOUISIANA,Calcasieu,'22019',0.00000,0.00000,0.00000,60000000.00000,60000000.00000,296.54525,0.00000,0.00000,0.00000,0.00000,4.00000,0.00000,0.00000,4.00000,0.00000,1
LOUISIANA,Cameron,'22023',0.00000,0.00000,0.00000,72000.00000,72000.00000,10.39561,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,3
LOUISIANA,Vermilion,'22113',0.00000,0.00000,0.00000,5000.00000,5000.00000,0.08342,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MISSISSIPPI,Attala,'28007',0.00000,0.00000,0.00000,15000.00000,15000.00000,0.81160,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MISSISSIPPI,Benton,'28009',0.00000,0.00000,0.00000,25000.00000,25000.00000,3.01714,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MISSISSIPPI,DeSoto,'28033',0.00000,0.00000,0.00000,50000.00000,50000.00000,0.27946,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MISSISSIPPI,Forrest,'28035',0.00000,0.00000,0.00000,200000.00000,200000.00000,2.65735,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MISSISSIPPI,Grenada,'28043',0.00000,0.00000,0.00000,45000.00000,45000.00000,2.13716,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MISSISSIPPI,Itawamba,'28057',0.00000,0.00000,0.00000,150000.00000,150000.00000,6.37972,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MISSISSIPPI,Jefferson Davis,'28065',0.00000,0.00000,0.00000,15000.00000,15000.00000,1.32497,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MISSISSIPPI,Lafayette,'28071',0.00000,0.00000,0.00000,100000.00000,100000.00000,1.84376,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MISSISSIPPI,Lamar,'28073',0.00000,0.00000,0.00000,161000.00000,161000.00000,2.62104,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,3
MISSISSIPPI,Lowndes,'28087',0.00000,0.00000,0.00000,15000.00000,15000.00000,0.25343,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,3
