State Name,County Name,County FIPS,CropDmg,CropDmg(ADJ 2017),CropDmgPerCapita(ADJ 2017),PropertyDmg,PropertyDmg(ADJ 2017),PropertyDmgPerCapita(ADJ 2017),Injuries,InjuriesPerCapita,Fatalities,FatalitiesPerCapita,Duration_Days,Fatalities_Duration,Injuries_Duration,Property_Damage_Duration,Crop_Damage_Duration,Records
PUERTO RICO,Adjuntas,'72001',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,41820.00669,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
PUERTO RICO,Aguada,'72003',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,19726.97862,0.00000,0.00000,2.00000,0.00005,2.00000,2.00000,0.00000,2.00000,0.00000,1
PUERTO RICO,Aguadilla,'72005',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,14170.72894,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
PUERTO RICO,Aguas buenas,'72007',0.00000,0.00000,0.00000,750222222.24000,750222222.24000,29062.61030,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,5
PUERTO RICO,Aibonito,'72009',0.00000,0.00000,0.00000,750300000.00000,750300000.00000,32536.86036,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,7
PUERTO RICO,Anasco,'72011',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,27801.46050,0.00000,0.00000,4.00000,0.00015,2.00000,2.00000,0.00000,2.00000,0.00000,1
PUERTO RICO,Arecibo,'72013',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,8779.83681,0.00000,0.00000,1.00000,0.00001,2.00000,2.00000,0.00000,2.00000,0.00000,1
PUERTO RICO,Arroyo,'72015',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,42056.86088,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
PUERTO RICO,Barceloneta,'72017',0.00000,0.00000,0.00000,1500000000.00000,1500000000.00000,62093.80304,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,2
PUERTO RICO,Barranquitas,'72019',0.00000,0.00000,0.00000,750300000.00000,750300000.00000,26348.50400,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,7
PUERTO RICO,Bayamon,'72021',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,4200.99816,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
PUERTO RICO,Cabo rojo,'72023',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,15423.21296,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
PUERTO RICO,Caguas,'72025',0.00000,0.00000,0.00000,750222222.24000,750222222.24000,5804.83146,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,5
PUERTO RICO,Camuy,'72027',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,23681.71771,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
PUERTO RICO,Canovanas,'72029',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,16411.73767,0.00000,0.00000,0.00000,0.00000,3.00000,0.00000,0.00000,3.00000,0.00000,1
PUERTO RICO,Carolina,'72031',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,4865.61180,0.00000,0.00000,0.00000,0.00000,3.00000,0.00000,0.00000,3.00000,0.00000,1
PUERTO RICO,Catano,'72033',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,30836.27991,0.00000,0.00000,0.00000,0.00000,3.00000,0.00000,0.00000,3.00000,0.00000,1
PUERTO RICO,Cayey,'72035',0.00000,0.00000,0.00000,750222222.24000,750222222.24000,17088.95520,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,5
PUERTO RICO,Ceiba,'72037',0.00000,0.00000,0.00000,750000000.00000,750000000.00000,65013.86963,0.00000,0.00000,0.00000,0.00000,3.00000,0.00000,0.00000,3.00000,0.00000,1
PUERTO RICO,Ciales,'72039',0.00000,0.00000,0.00000,800000.00000,800000.00000,48.30626,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,7
PUERTO RICO,Cidra,'72041',0.00000,0.00000,0.00000,222222.24000,222222.24000,5.59571,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,4
PUERTO RICO,Coamo,'72043',0.00000,0.00000,0.00000,800000.00000,800000.00000,20.52967,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,7
PUERTO RICO,Comerio,'72045',0.00000,0.00000,0.00000,250222222.24000,250222222.24000,12976.31189,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,5
PUERTO RICO,Corozal,'72047',0.00000,0.00000,0.00000,800000.00000,800000.00000,23.81732,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,7
PUERTO RICO,Fajardo,'72053',0.00000,0.00000,0.00000,500000.00000,500000.00000,16.04364,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
PUERTO RICO,Florida,'72054',0.00000,0.00000,0.00000,500000.00000,500000.00000,42.61122,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
PUERTO RICO,Guanica,'72055',0.00000,0.00000,0.00000,500000.00000,500000.00000,30.60725,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
PUERTO RICO,Guayama,'72057',0.00000,0.00000,0.00000,500000.00000,500000.00000,12.16900,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
