State Name,County Name,County FIPS,CropDmg,CropDmg(ADJ 2017),CropDmgPerCapita(ADJ 2017),PropertyDmg,PropertyDmg(ADJ 2017),PropertyDmgPerCapita(ADJ 2017),Injuries,InjuriesPerCapita,Fatalities,FatalitiesPerCapita,Duration_Days,Fatalities_Duration,Injuries_Duration,Property_Damage_Duration,Crop_Damage_Duration,Records
NORTH DAKOTA,Barnes,'38003',0.00000,0.00000,0.00000,200000.00000,200000.00000,18.73361,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH DAKOTA,Benson,'38005',10000.00000,10000.00000,1.44196,200000.00000,200000.00000,28.83922,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,1.00000,1
NORTH DAKOTA,Cavalier,'38019',5515000.00000,5515000.00000,1453.22793,2225000.00000,2225000.00000,586.29776,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,1.00000,6
NORTH DAKOTA,Eddy,'38027',0.00000,0.00000,0.00000,10000.00000,10000.00000,4.29553,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH DAKOTA,Morton,'38059',15000.00000,15000.00000,0.48534,40000.00000,40000.00000,1.29425,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,1.00000,1
NORTH DAKOTA,Nelson,'38063',0.00000,0.00000,0.00000,60000.00000,60000.00000,20.62564,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH DAKOTA,Pembina,'38067',200000.00000,200000.00000,28.66151,700000.00000,700000.00000,100.31528,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,1.00000,2
NORTH DAKOTA,Pierce,'38069',0.00000,0.00000,0.00000,75000.00000,75000.00000,18.23487,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH DAKOTA,Stark,'38089',0.00000,0.00000,0.00000,95000.00000,95000.00000,3.13356,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,3
NORTH DAKOTA,Steele,'38091',0.00000,0.00000,0.00000,50000.00000,50000.00000,26.19172,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
