State Name,County Name,County FIPS,CropDmg,CropDmg(ADJ 2017),CropDmgPerCapita(ADJ 2017),PropertyDmg,PropertyDmg(ADJ 2017),PropertyDmgPerCapita(ADJ 2017),Injuries,InjuriesPerCapita,Fatalities,FatalitiesPerCapita,Duration_Days,Fatalities_Duration,Injuries_Duration,Property_Damage_Duration,Crop_Damage_Duration,Records
ARIZONA,Pinal,'04021',0.00000,0.00000,0.00000,600000.00000,600000.00000,1.38852,1.00000,0.00000,0.00000,0.00000,2.00000,0.00000,2.00000,2.00000,0.00000,1
ARIZONA,Santa Cruz,'04023',0.00000,0.00000,0.00000,750000.00000,750000.00000,16.08200,1.00000,0.00002,0.00000,0.00000,6.00000,0.00000,6.00000,6.00000,0.00000,1
CALIFORNIA,Butte,'06007',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00001,0.00000,0.00000,3.00000,0.00000,3.00000,0.00000,0.00000,1
CALIFORNIA,Calaveras,'06009',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00002,6.00000,6.00000,0.00000,0.00000,0.00000,1
CALIFORNIA,Colusa,'06011',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33000,0.00002,0.00000,0.00000,3.00000,0.00000,3.00000,0.00000,0.00000,1
CALIFORNIA,Glenn,'06021',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33000,0.00001,0.00000,0.00000,3.00000,0.00000,3.00000,0.00000,0.00000,1
CALIFORNIA,Mendocino,'06045',0.00000,0.00000,0.00000,38400000.00000,38400000.00000,437.87131,1.00000,0.00001,8.00000,0.00009,21.00000,21.00000,21.00000,21.00000,0.00000,1
CALIFORNIA,Nevada,'06057',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33000,0.00000,0.00000,0.00000,3.00000,0.00000,3.00000,0.00000,0.00000,1
CALIFORNIA,Orange,'06059',0.00000,0.00000,0.00000,25333333.33000,25333333.33000,7.96658,0.00000,0.00000,0.00000,0.00000,9.00000,0.00000,0.00000,9.00000,0.00000,2
CALIFORNIA,Riverside,'06065',0.00000,0.00000,0.00000,333333.33000,333333.33000,0.13790,0.00000,0.00000,0.00000,0.00000,3.00000,0.00000,0.00000,3.00000,0.00000,1
CALIFORNIA,Sacramento,'06067',0.00000,0.00000,0.00000,666666.67000,666666.67000,0.43638,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,San Diego,'06073',0.00000,0.00000,0.00000,30473333.33000,30473333.33000,9.16362,0.00000,0.00000,0.00000,0.00000,3.00000,0.00000,0.00000,3.00000,0.00000,6
CALIFORNIA,San Joaquin,'06077',0.00000,0.00000,0.00000,666666.67000,666666.67000,0.89785,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Santa Barbara,'06083',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,28.00000,28.00000,0.00000,0.00000,0.00000,2
CALIFORNIA,Sierra,'06091',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.00000,0.00399,0.00000,0.00000,15.00000,0.00000,15.00000,0.00000,0.00000,2
CALIFORNIA,Solano,'06095',0.00000,0.00000,0.00000,666666.67000,666666.67000,1.50192,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Sutter,'06101',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33000,0.00000,0.00000,0.00000,3.00000,0.00000,3.00000,0.00000,0.00000,1
CALIFORNIA,Tulare,'06107',0.00000,0.00000,0.00000,11000.00000,11000.00000,0.02375,13.00000,0.00003,0.00000,0.00000,24.00000,0.00000,24.00000,1.00000,0.00000,5
CALIFORNIA,Ventura,'06111',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00000,0.00000,28.00000,28.00000,0.00000,0.00000,0.00000,3
CALIFORNIA,Yuba,'06115',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33000,0.00000,0.00000,0.00000,3.00000,0.00000,3.00000,0.00000,0.00000,1

